date,location,type,redd_count,salmon_count,depth_m,pot_depth_m,velocity,percent_fine_substrate,percent_small_substrate,percent_medium_substrate,percent_large_substrate,percent_boulder,redd_width_m,redd_length_m,latitude,longitude
2009-10-13,Mathews,Area,1,2,0.2,0.41,1.9028872,10,20,50,20,NA,NA,NA,NA,NA
2009-10-13,Mathews,Area,1,0,0.46,0.5,1.2795276,10,10,80,NA,NA,NA,NA,NA,NA
2009-10-13,Mathews,Area,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-10-13,Mathews,Area,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-10-13,Mathews,Area,1,0,0.28,0.37,2.6246720000000003,5,20,58,NA,NA,NA,NA,NA,NA
2009-10-13,Mathews,Area,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-10-13,Mathews,Area,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-10-13,Aleck,Area,1,0,0.18,0.35,1.5091864000000002,10,80,10,NA,NA,NA,NA,NA,NA
2009-10-13,Upper Robinson,Area,1,0,0.21,0.36,2.952756,5,20,50,25,NA,NA,NA,NA,NA
2009-10-13,Upper Robinson,Area,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-10-13,Lower Robinson,Area,1,0,0.41,0.53,2.2309712,30,40,30,NA,NA,NA,NA,NA,NA
2009-10-13,Lower Robinson,Area,1,0,0.38,0.6,3.6745408000000004,20,30,50,NA,NA,NA,NA,NA,NA
2009-10-13,Steep,Area,1,0,0.43,0.44,1.7716536,5,40,50,5,NA,NA,NA,NA,NA
2009-10-13,Steep,Area,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-10-13,Eye,Area,1,0,0.7,0.85,3.0511812000000003,10,80,10,NA,NA,NA,NA,NA,NA
2009-10-13,Gateway,Area,1,0,0.66,0.74,2.132546,15,30,50,5,NA,NA,NA,NA,NA
2009-10-01,Lower Auditorium,Area,1,1,0.96,0.92,2.7887139999999997,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-10-01,Lower Auditorium,Area,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-10-01,Lower Auditorium,Area,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-10-01,Lower Auditorium,Area,1,0,0.86,0.84,2.3622047999999998,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-10-01,Lower Auditorium,Area,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-10-01,Lower Auditorium,Area,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-10-01,Lower Auditorium,Area,2,2,0.56,0.64,2.1981628,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-10-01,Lower Auditorium,Area,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-10-01,Lower Auditorium,Area,1,0,0.38,0.4,2.132546,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-10-01,Lower Auditorium,Area,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-10-01,Lower Auditorium,Area,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-10-01,Lower Auditorium,Area,2,2,0.52,0.64,2.1653544,NA,NA,NA,NA,NA,NA,NA,NA,NA
