SurveyID,Date,Location,Unit,Species,Number,MinFL,MaxFL,Depth,FishDepth,HUCsubstrate,HUCcover,HUCunit,Velocity,BankDistance,AvgFL,Ocov
10,1999-06-28,ROBINSON RIFFLE,173,RBTS,3,120,120,0.52999997,0.44999999,3,A,R,2.21,NA,120,0
10,1999-06-28,ROBINSON RIFFLE,173,RBT,1,400,420,0.72000003,0.64999998,3,a,R,2.81,NA,410,1
10,1999-06-28,ROBINSON RIFFLE,173,RBTS,1,120,120,0.60000002,0.5,3,A,R,2.51,NA,120,0
10,1999-06-28,ROBINSON RIFFLE,173,RBTS,1,120,120,0.63,0.55000001,2,a,R,4.39,NA,120,1
10,1999-06-28,ROBINSON RIFFLE,173,RBTS,5,100,100,0.69,0.60000002,3,A,R,1.58,NA,100,0
10,1999-06-28,ROBINSON RIFFLE,173,RBTS,4,75,85,0.69,0.60000002,3,A,R,1.58,NA,80,0
10,1999-06-28,ROBINSON RIFFLE,173,RBTS,1,130,130,0.60000002,0.5,3,A,R,2.51,NA,130,0
10,1999-06-28,ROBINSON RIFFLE,173,RBTS,1,110,110,0.63,0.55000001,2,a,R,4.39,NA,110,1
12,1999-06-25,ALECK RIFFLE,119,RBTS,1,105,105,0.68000001,0.44999999,3,b,W,0,NA,105,1
12,1999-06-25,ALECK RIFFLE,119,MIN,5,95,105,0.68000001,0.44999999,3,b,W,0,NA,100,1
12,1999-06-25,ALECK RIFFLE,119,SPD,3,80,90,0.68000001,0.44999999,3,b,W,0,NA,85,1
12,1999-06-25,ALECK RIFFLE,119,MIN,4,120,130,0.68000001,0.44999999,3,b,W,0,NA,125,1
12,1999-06-25,ALECK RIFFLE,119,MIN,25,60,80,0.68000001,0.44999999,3,b,W,0,NA,70,1
12,1999-06-25,ALECK RIFFLE,119,CHNF,5,75,85,0.68000001,0.44999999,3,b,W,0,NA,80,1
12,1999-06-25,ALECK RIFFLE,119,SPD,30,50,60,0.68000001,0.44999999,3,b,W,0,NA,55,1
12,1999-06-25,ALECK RIFFLE,119,RBTS,1,65,65,0.49000001,0.40000001,2,A,G,1.1,NA,65,0
12,1999-06-25,ALECK RIFFLE,121A,RBTS,3,75,90,0.47999999,0.44999999,3,A,R,2.84,NA,82,0
12,1999-06-25,ALECK RIFFLE,121A,RBTS,2,55,60,0.38999999,0.36000001,3,A,RM,0.91,NA,58,0
12,1999-06-25,ALECK RIFFLE,121A,RBTS,2,65,75,0.20999999,0.18000001,3,A,R,1.75,NA,70,0
12,1999-06-25,ALECK RIFFLE,121A,RBTS,1,95,95,0.23999999,0.20999999,3,A,RM,0.5,NA,95,0
12,1999-06-25,ALECK RIFFLE,121A,RBTS,1,65,65,0.22,0.19,3,A,RM,0,NA,65,0
12,1999-06-25,ALECK RIFFLE,121A,RBTS,2,50,50,0.18000001,0.15000001,3,A,R,1.32,NA,50,0
12,1999-06-25,ALECK RIFFLE,121A,RBTS,1,70,70,0.15000001,0.12,4,A,R,0.95,NA,70,0
12,1999-06-25,ALECK RIFFLE,121A,RBTS,1,100,100,0.19,0.16,2,A,R,0.68,NA,100,0
12,1999-06-25,ALECK RIFFLE,121A,RBTS,1,95,95,0.47999999,0.44999999,3,A,R,2.84,NA,95,0
12,1999-06-25,ALECK RIFFLE,121A,RBTS,2,85,85,0.19,0.16,2,A,R,0.68,NA,85,0
12,1999-06-25,ALECK RIFFLE,121A,RBTS,1,70,70,0.19,0.16,2,A,R,0.68,NA,70,0
12,1999-06-25,ALECK RIFFLE,121A,RBTS,1,75,75,0.23999999,0.20999999,3,A,RM,0.5,NA,75,0
12,1999-06-25,ALECK RIFFLE,121A,CHNF,2,65,75,0.20999999,0.18000001,3,A,RM,1.75,NA,70,0
12,1999-06-25,ALECK RIFFLE,119,RBT,1,350,350,1.9,1,3,A,R,2,NA,350,0
12,1999-06-25,ALECK RIFFLE,119,CHNF,1,65,65,0.55000001,0.5,2,B,W,0.5,NA,65,0
13,1999-06-25,BEDROCK PARK,52,RBTS,1,50,50,0.18000001,0.15000001,3,a,P,0.5,NA,50,1
13,1999-06-25,BEDROCK PARK,52,RBTS,1,65,70,0.38,0.30000001,3,A,P,0.5,NA,68,0
13,1999-06-25,BEDROCK PARK,52,RBTS,1,55,60,0.18000001,0.15000001,3,a,P,0.5,NA,58,1
13,1999-06-25,BEDROCK PARK,52,RBTS,1,80,85,0.30000001,0.25,3,F,P,0,NA,82,0
13,1999-06-25,BEDROCK PARK,52,RBTS,1,55,55,0.30000001,0.25,3,B,P,0,NA,55,0
13,1999-06-25,BEDROCK PARK,52,RBTS,2,50,50,0.30000001,0.25,3,f,P,0,NA,50,0
13,1999-06-25,BEDROCK PARK,52,RBTS,2,65,70,0.46000001,0.34999999,3,A,P,0.75,NA,68,0
13,1999-06-25,BEDROCK PARK,52,RBTS,1,75,80,0.41999999,0.34999999,2,A,G,0.91,NA,78,0
13,1999-06-25,BEDROCK PARK,52,RBTS,2,55,60,0.41999999,0.34999999,2,A,G,0.91,NA,58,0
13,1999-06-25,BEDROCK PARK,52,CHNF,5,65,75,0.41999999,0.34999999,2,A,G,0.91,NA,70,0
13,1999-06-25,BEDROCK PARK,52,RBTS,1,85,85,0.5,0.40000001,3,A,G,0.73,NA,85,0
13,1999-06-25,BEDROCK PARK,52,CHNF,75,65,95,0.44999999,0.40000001,3,A,P,0.85,NA,80,0
13,1999-06-25,BEDROCK PARK,52,RBTS,4,50,65,0.44999999,0.40000001,3,A,G,0.85,NA,58,0
13,1999-06-25,BEDROCK PARK,52,RBTS,1,75,80,0.44999999,0.40000001,3,A,G,0.85,NA,78,0
13,1999-06-25,BEDROCK PARK,52,RBTS,1,65,70,0.40000001,0.34999999,3,A,G,0.76,NA,68,0
13,1999-06-25,BEDROCK PARK,52,RBTS,1,65,65,0.38,0.25,3,A,G,0.74,NA,65,0
13,1999-06-25,BEDROCK PARK,52,RBTS,1,50,50,0.33000001,0.25,3,A,R,1.21,NA,50,0
13,1999-06-25,BEDROCK PARK,52,RBTS,1,75,80,0.27000001,0.2,2,A,G,0.82,NA,78,0
13,1999-06-25,BEDROCK PARK,52,RBTS,3,70,80,0.31999999,0.15000001,3,A,G,0.88,NA,75,0
13,1999-06-25,BEDROCK PARK,52,RBTS,1,90,90,0.34999999,0.30000001,3,A,G,1.3,NA,90,0
13,1999-06-25,BEDROCK PARK,52,RBTS,1,50,50,0.23999999,0.2,3,e,G,0.5,NA,50,0
