location_table_id,date,location,water_temp,weather,river_mile,flow,number_of_divers,reach_length,reach_width,channel_width,channel_type,gps_coordinate
11,2001-03-14,hatchery ditch,47,direct sunlight,66.6,12,3,25,4,7,sidechannel,NA
12,2001-03-15,hour bars,56,overcast,56,1700,2,25,4,160,mainchannel branch,NA
13,2001-08-20,hatchery riffle,57,direct sunlight,66.5,600,2,25,4,0,mainchannel,"n 39*30.950, w 21*33.212"
14,2001-08-20,hatchery ditch,55,direct sunlight,66.6,600,2,25,4,0,sidechannel,"N 39* 30.952,  W 21* 33.215"
15,2001-08-20,trailer park riffle,58,direct sunlight,64,600,2,25,4,0,mainchannel,"N 39* 19.055, W 21*37.394"
16,2001-08-20,bedrock park riffle,58,direct sunlight,65.5,600,2,25,4,0,mainchannel,"N 39* 30.783, W 21*34.089"
17,2001-08-20,steep riffle,63.5,direct sunlight,61,600,2,25,4,17,mainchannel,"N 39*27.758', w 121* 36.263'"
18,2001-08-20,robinson riffle,59.5,direct sunlight,61.5,600,2,25,4,14,sidechannel,"N 39* 27.804', W 121* 36.240'"
19,2001-08-20,steep riffle,62.5,direct sunlight,61,600,2,25,4,8,sidechannel,"N 39* 27.755', W 121* 36.201'"
20,2001-08-20,robinson riffle,61,direct sunlight,61.5,600,2,25,4,31,mainchannel,"N 39* 27.979', W 121* 35.922"
21,2001-07-16,upper big hole,67.5,direct sunlight,58.3,1900,2,25,4,50,mainchannel branch,None
22,2001-07-16,lower big hole,68,direct sunlight,58,1900,2,25,4,50,mainchannel,None
23,2001-07-16,g95,68,direct sunlight,57,900,2,25,4,39,sidechannel,None
24,2001-07-16,g95,72,direct sunlight,57,900,2,25,4,45,mainchannel branch,not taken
25,2001-07-17,lower big hole,68,direct sunlight,56,1900,2,25,4,43,mainchannel branch,N 39* 30.537' W121* 30.315'
26,2001-07-17,hour bars,68,direct sunlight,56,1900,2,25,4,50,mainchannel branch,NA
27,2001-07-17,gridley riffle,68,direct sunlight,49.5,1900,2,25,4,0,mainchannel,N 39* 22.523'  W 121* 37.945'
28,2001-07-17,big bar,69,direct sunlight,52.5,1900,2,25,4,55,mainchannel,N39*23.155  W121*37.722
29,2001-07-17,goose riffle,68,direct sunlight,54.5,1900,2,25,4,71,mainchannel,N39*24.340 W121*37.029
30,2001-07-17,macfarland riffle,68,direct sunlight,52.5,1900,2,25,4,75,mainchannel,N 39*23.154' W121*37.723'
31,2001-07-18,shallow riffle,72,direct sunlight,47,1900,2,25,4,42,sidechannel,N 39* 19.757'  W 121* 37.841'
32,2001-07-18,herringer riffle,74,direct sunlight,46,1900,2,25,4,32,sidechannel,N 39* 19.056'  W 121* 37.394'
33,2001-07-18,junkyard riffle,68,direct sunlight,48.5,1900,2,25,4,48,mainchannel,N 39* 20.733'  W 121* 37.574
34,2001-07-10,hatchery riffle,60,direct sunlight,66,600,3,25,4,28,mainchannel branch,N 39º 30.519'  W 121º 30.288
35,2001-07-10,auditorium riffle,57,direct sunlight,66,600,2,25,4,32,mainchannel branch,NA
