location,date,longitude,latitude,channel_location
Big Hole West,2024-11-07T00:00:00Z,-121.63776942,39.43847143,HFC
Big Riffle,2024-10-22T00:00:00Z,-121.62200164,39.39496223,HFC
Big Riffle,2024-10-22T00:00:00Z,-121.62196254,39.39499323,HFC
Big Riffle,2024-10-22T00:00:00Z,-121.62184107,39.39498581,HFC
Big Riffle,2024-10-22T00:00:00Z,-121.62188752,39.39494615,HFC
Big Riffle,2024-10-22T00:00:00Z,-121.62192642,39.39492511,HFC
Big Riffle,2024-10-22T00:00:00Z,-121.62180236,39.39489298,HFC
Big Riffle,2024-10-22T00:00:00Z,-121.62169083,39.39487574,HFC
Big Riffle,2024-10-22T00:00:00Z,-121.62166211,39.39495304,HFC
Big Riffle,2024-10-22T00:00:00Z,-121.6217243,39.39492192,HFC
Big Riffle,2024-10-22T00:00:00Z,-121.621749,39.39491863,HFC
Big Riffle,2024-10-22T00:00:00Z,-121.62155116,39.39488045,HFC
Big Riffle,2024-10-22T00:00:00Z,-121.62155253,39.39483667,HFC
Big Riffle,2024-10-22T00:00:00Z,-121.62152515,39.39476786,HFC
Big Riffle,2024-10-22T00:00:00Z,-121.62145066,39.39466784,HFC
Big Riffle,2024-10-22T00:00:00Z,-121.62141769,39.39488285,HFC
Big Riffle,2024-10-22T00:00:00Z,-121.62134816,39.39481753,HFC
Big Riffle,2024-10-22T00:00:00Z,-121.62135232,39.39455639,HFC
Big Riffle,2024-10-22T00:00:00Z,-121.62133059,39.39454237,HFC
Big Riffle,2024-10-22T00:00:00Z,-121.62132649,39.39450027,HFC
Big Riffle,2024-11-08T00:00:00Z,-121.62158885,39.3948639,HFC
Big Riffle,2024-11-08T00:00:00Z,-121.62174089,39.3948612,HFC
Big Riffle,2024-11-18T00:00:00Z,-121.6217386,39.39495155,HFC
Big Riffle,2024-11-18T00:00:00Z,-121.62179646,39.39498409,HFC
G95 East Bottom,2024-10-23T00:00:00Z,-121.62592678,39.42904458,HFC
G95 East Bottom,2024-10-23T00:00:00Z,-121.62583009,39.42897445,HFC
G95 East Bottom,2024-10-23T00:00:00Z,-121.62602606,39.42907285,HFC
G95 East Bottom,2024-10-23T00:00:00Z,-121.62610412,39.42906011,HFC
G95 East Bottom,2024-10-23T00:00:00Z,-121.62611701,39.42910604,HFC
G95 East Bottom,2024-10-23T00:00:00Z,-121.62619298,39.42912538,HFC
G95 East Bottom,2024-10-23T00:00:00Z,-121.62617236,39.42909849,HFC
G95 East Bottom,2024-10-23T00:00:00Z,-121.62586649,39.42886105,HFC
G95 East Bottom,2024-10-23T00:00:00Z,-121.62597183,39.42875307,HFC
G95 East Bottom,2024-10-23T00:00:00Z,-121.62599456,39.42889738,HFC
G95 East Bottom,2024-10-23T00:00:00Z,-121.62612563,39.42866734,HFC
G95 East Bottom,2024-10-23T00:00:00Z,-121.6258971,39.42861227,HFC
G95 East Bottom,2024-10-23T00:00:00Z,-121.62596518,39.42856958,HFC
G95 East Bottom,2024-10-23T00:00:00Z,-121.62593405,39.42846515,HFC
G95 East Bottom,2024-10-23T00:00:00Z,-121.6259039,39.42850533,HFC
G95 East Bottom,2024-10-23T00:00:00Z,-121.6259145,39.42890759,HFC
G95 East Bottom,2024-11-07T00:00:00Z,-121.62578618,39.42897858,HFC
G95 East Bottom,2024-11-07T00:00:00Z,-121.62597235,39.42903024,HFC
G95 East Bottom,2024-11-07T00:00:00Z,-121.62585771,39.42851025,HFC
G95 East Bottom,2024-11-07T00:00:00Z,-121.62596146,39.42863945,HFC
G95 East Top,2024-10-23T00:00:00Z,-121.62931531,39.43105006,HFC
G95 East Top,2024-10-23T00:00:00Z,-121.62927453,39.43105664,HFC
G95 East Top,2024-10-23T00:00:00Z,-121.62921684,39.43107431,HFC
G95 East Top,2024-10-23T00:00:00Z,-121.62928104,39.43098755,HFC
G95 East Top,2024-10-23T00:00:00Z,-121.62923962,39.43099577,HFC
G95 East Top,2024-10-23T00:00:00Z,-121.62920746,39.43101138,HFC
G95 East Top,2024-10-23T00:00:00Z,-121.6291757,39.43102183,HFC
G95 East Top,2024-10-23T00:00:00Z,-121.62930223,39.4309278,HFC
G95 East Top,2024-10-23T00:00:00Z,-121.62921612,39.43089432,HFC
G95 East Top,2024-10-23T00:00:00Z,-121.62920067,39.43090896,HFC
G95 East Top,2024-10-23T00:00:00Z,-121.62926822,39.43085212,HFC
G95 East Top,2024-10-23T00:00:00Z,-121.6290721,39.43075665,HFC
G95 East Top,2024-10-23T00:00:00Z,-121.6289728,39.43077123,HFC
G95 East Top,2024-10-23T00:00:00Z,-121.62896968,39.43062086,HFC
G95 East Top,2024-10-23T00:00:00Z,-121.62885154,39.43073593,HFC
G95 East Top,2024-10-23T00:00:00Z,-121.62886741,39.43071564,HFC
G95 East Top,2024-10-23T00:00:00Z,-121.62897643,39.43072563,HFC
G95 East Top,2024-11-07T00:00:00Z,-121.6291566,39.43083294,HFC
G95 East Top,2024-11-07T00:00:00Z,-121.62914052000001,39.43080665,HFC
G95 East Top,2024-11-07T00:00:00Z,-121.62925966,39.43094333,HFC
G95 East Top,2024-11-07T00:00:00Z,-121.62910606,39.43079845,HFC
G95 East Top,2024-11-07T00:00:00Z,-121.62891526,39.4307355,HFC
G95 East Top,2024-11-07T00:00:00Z,-121.62891032,39.4307705,HFC
G95 Main,2024-10-23T00:00:00Z,-121.62963619,39.43051533,HFC
G95 Main,2024-10-23T00:00:00Z,-121.62969082,39.43048668,HFC
G95 Main,2024-10-23T00:00:00Z,-121.62969046,39.43042923,HFC
G95 Main,2024-10-23T00:00:00Z,-121.62976523,39.43031811,HFC
G95 Main,2024-10-23T00:00:00Z,-121.62945497,39.43035179,HFC
G95 Main,2024-10-23T00:00:00Z,-121.62940167,39.43042583,HFC
G95 Main,2024-10-23T00:00:00Z,-121.62949063,39.43011959,HFC
G95 Main,2024-10-23T00:00:00Z,-121.62958954,39.4305906,HFC
G95 Main,2024-10-23T00:00:00Z,-121.62954543,39.43061133,HFC
G95 Main,2024-10-23T00:00:00Z,-121.62960817,39.43014656,HFC
G95 Main,2024-10-23T00:00:00Z,-121.63018492,39.43014697,HFC
G95 Main,2024-11-07T00:00:00Z,-121.62956743,39.43047144,HFC
G95 Main,2024-11-07T00:00:00Z,-121.62953415,39.43054457,HFC
G95 Main,2024-11-19T00:00:00Z,-121.6296188,39.43057141,HFC
G95 Main,2024-11-19T00:00:00Z,-121.62967317,39.43055597,HFC
G95 West Bottom,2024-10-23T00:00:00Z,-121.63046778,39.43010812,HFC
G95 West Bottom,2024-10-23T00:00:00Z,-121.63064609,39.43004187,HFC
G95 West Bottom,2024-10-23T00:00:00Z,-121.63071884,39.43022251,HFC
G95 West Bottom,2024-10-23T00:00:00Z,-121.63071483,39.43027588,HFC
G95 West Bottom,2024-10-23T00:00:00Z,-121.63069193,39.43023414,HFC
G95 West Bottom,2024-11-07T00:00:00Z,-121.63092546,39.43018878,HFC
G95 West Bottom,2024-11-07T00:00:00Z,-121.63062345,39.43019221,HFC
G95 West Bottom,2024-11-07T00:00:00Z,-121.63081448,39.43007094,HFC
G95 West Bottom,2024-11-07T00:00:00Z,-121.63076485,39.43027499,HFC
G95 West Top,2024-10-23T00:00:00Z,-121.63248271,39.43122988,HFC
G95 West Top,2024-10-23T00:00:00Z,-121.63242043,39.43112344,HFC
G95 West Top,2024-10-23T00:00:00Z,-121.63233426,39.43117606,HFC
G95 West Top,2024-11-19T00:00:00Z,-121.632512,39.43122465,HFC
Keister,2024-10-23T00:00:00Z,-121.61974657,39.40883699,HFC
Keister,2024-10-23T00:00:00Z,-121.61970117,39.4087854,HFC
Keister,2024-10-23T00:00:00Z,-121.61952062,39.40870266,HFC
Keister,2024-10-23T00:00:00Z,-121.61952149,39.40879886,HFC
Keister,2024-10-23T00:00:00Z,-121.61962833,39.40882592,HFC
Keister,2024-10-23T00:00:00Z,-121.61947903,39.40894989,HFC
