area_sq_m,unit,unit_sub_level,latitude,longitude
5392.069372,125,,39.47935391,-121.5803665
10004.45267,126,,39.47931922,-121.5800738
17836.69116,127,,39.47939972,-121.5795253
11387.76317,128,,39.47941902,-121.5789829
3017.065729,129,,39.47815857,-121.5807784
7015.226133,130,,39.47812497,-121.5804038
7795.996801,131,,39.47808087,-121.5798424
6059.975812,132,,39.47804039,-121.579319
4653.556594,133,,39.47724323,-121.5810838
9185.237411,134,,39.47724811,-121.5806406
8638.463698,135,,39.47719291,-121.5800653
4284.184744,136,,39.47721861,-121.5796223
8196.515299,137,,39.47621684,-121.5814535
13301.05341,138,,39.47607107,-121.5809479
12875.75973,139,,39.47586031,-121.580524
9139.043971,140,,39.47538405,-121.5803607
5378.308016,141,A,39.4749319,-121.5818518
9365.808871,141,,39.4747212,-121.581562
4143.187667,142,,39.47442714,-121.5813142
3698.838176,143,,39.47394651,-121.5824903
8370.120781,144,,39.47375598,-121.5821414
3641.911867,145,,39.4735557,-121.5817688
8805.39968,146,,39.47253469,-121.5833518
23557.95592,147,,39.47239617,-121.5828687
8662.890639,148,,39.47198563,-121.5824649
13303.14537,149,,39.47042354,-121.584941
27237.41449,150,,39.47116107,-121.5837531
9824.526635,151,,39.47011021,-121.5841126
13808.89096,152,,39.46939123,-121.5872812
18217.48798,153,,39.46904992,-121.5870799
8070.062781,154,,39.46889707,-121.5866631
6884.063306,155,,39.46862303,-121.5894513
15270.7619,156,,39.46828079,-121.5892489
4810.913626,157,,39.46803605,-121.5888984
7650.010056,158,,39.46779189,-121.5917392
34143.42741,159,,39.46743095,-121.5914519
9667.786647,160,,39.46703967,-121.5911299
11648.43998,161,,39.46909436,-121.5914345
9377.934442,162,,39.46875513,-121.5917042
10867.81773,163,,39.46824877,-121.5923315
7326.074176,164,,39.46733731,-121.595165
14328.23729,165,,39.46690744,-121.595741
18119.26337,166,,39.46702644,-121.5945499
22177.82621,167,,39.46673734,-121.5940474
12538.23189,168,,39.46634487,-121.5942581
6595.666306,169,,39.46717072,-121.5971474
10887.22727,170,,39.46683964,-121.5975113
12308.34737,171,,39.46641835,-121.5972092
10332.36949,172,,39.46579405,-121.5971815
1904.926487,173,,39.4664131,-121.5994287
1645.786363,174,,39.46624825,-121.5992165
1269.600609,175,,39.46628399,-121.5989507
8061.552512,176,,39.46567047,-121.6015628
13192.08471,177,,39.46551963,-121.6014953
3943.250734,178,,39.46589523,-121.6001181
2142.369899,179,,39.46575083,-121.5997348
4211.610646,180,,39.4658147,-121.5991891
11696.00981,182,,39.46364409,-121.6041959
5175.644429,183,,39.46522581,-121.6017803
8822.972006,184,,39.46316174,-121.6045205
10216.82345,185,,39.4618489,-121.6050189
4218.697006,186,,39.46382078,-121.6037125
14206.25631,189,,39.46202241,-121.6039028
7464.953811,190,,39.46209616,-121.6026374
8892.011249,191,,39.46162277,-121.6071745
8479.294309,192,,39.46142533,-121.6072224
8819.010851,193,,39.46134218,-121.607055
14985.50013,197,,39.46040071,-121.6111141
2510.401442,197,,39.45824869,-121.6137823
20578.4172,198,,39.4601231,-121.6111133
17236.95934,199,,39.46000904,-121.6108838
2774.957529,200,,39.45621277,-121.6147888
3149.92646,205,,39.45768223,-121.6133865
8845.298277,207,,39.45787856,-121.6136529
11439.41838,210,,39.45678701,-121.6129365
1787.265002,215,A,39.45717987,-121.6144794
2770.379595,215,B,39.45713688,-121.6141917
7329.497848,215,,39.45645204,-121.6149814
2181.655031,216,,39.45703985,-121.6146242
2149.318815,217,,39.45684453,-121.6140597
17291.6618,218,,39.45686129,-121.6185734
28439.67066,219,,39.45657859,-121.6184428
16061.1195,220,,39.45631081,-121.6184163
4466.932151,221,,39.45649851,-121.6221036
6602.580028,224,,39.45727083,-121.6220665
3237.530481,225,,39.45664932,-121.6220335
12077.96107,226,,39.45708352,-121.6241147
5117.612414,228,,39.45719457,-121.6250248
559.383509,230,,39.45696094,-121.6286838
16883.64413,231,,39.45625711,-121.6245312
6453.043221,232,,39.45693338,-121.6277378
15707.38264,233,,39.45668047,-121.6271442
19954.78584,234,,39.45634371,-121.6266826
9146.29694,235,,39.45600008,-121.626645
4577.926921,236,,39.45679217,-121.6294223
12697.95399,237,,39.45644355,-121.6292624
6116.135626,238,,39.4561644,-121.6292817
4565.974201,239,,39.45602256,-121.6292449
7808.241803,240,,39.45645585,-121.6317888
17136.33292,241,,39.45613574,-121.6317878
15685.0556,242,,39.45575017,-121.6316051
9887.482091,243,,39.45545161,-121.6309515
8367.62319,244,,39.45638735,-121.6342381
22549.55723,245,,39.45593545,-121.6340299
4536.074587,246,,39.45541498,-121.6335711
4157.111395,246,,39.45519957,-121.6341998
1503.517262,247,,39.45511117,-121.6338878
5339.860535,249,,39.45517064,-121.6348912
11955.25651,250,,39.45569775,-121.6357781
27894.68483,251,,39.4549147,-121.6359196
5584.111841,252,,39.45381979,-121.6366068
7314.549867,253,,39.45392263,-121.6366107
4434.8205,255,,39.4537396,-121.6365464
7597.257025,255,,39.45332609,-121.6390048
4773.0341,256,,39.45430705,-121.6378978
7993.307546,257,,39.4541337,-121.6376345
14433.83777,259,,39.45297509,-121.6387373
11527.27473,260,,39.4526654,-121.6383621
5350.926439,261,,39.45232536,-121.6381131
4882.892679,262,,39.45163523,-121.6398959
9676.2678,263,,39.45167982,-121.6393665
11143.2494,264,,39.45156933,-121.6386411
2660.883291,265,,39.45165557,-121.6381339
12379.53134,266,,39.44992012,-121.638861
2800.266336,266,A,39.44776379,-121.6383438
20785.70207,267,,39.450726,-121.6390812
14490.484,268,,39.44998778,-121.6384433
6608.224616,269,,39.45052934,-121.6371807
12894.97077,270,,39.45061526,-121.6368998
7264.585812,271,,39.45075234,-121.6366925
7314.13986,272,B,39.44812494,-121.6363552
7793.083657,272,A,39.44587917,-121.6377661
11456.36139,273,B,39.44824133,-121.6359815
12031.34035,273,A,39.44629788,-121.6375551
8847.001304,274,B,39.44845654,-121.6356646
7680.129601,274,A,39.44618658,-121.6372809
6003.432125,275,,39.44563843,-121.6361786
15535.74209,276,,39.44572548,-121.6359663
6977.51235,277,,39.44691388,-121.637158
8056.495909,278,,39.44579031,-121.635703
