PhysDataTblID,Location,Date,StartTime,EndTime,Crew,WaterTemp,Weather,RiverMile,Flow,NumberOfDivers,ReachLength,ReachWidth,ChannelType,ChannelWidth,GPS.Coordinate
27,Gridley Riffle,2001-07-17,(12/30/99 14:35:00),(12/30/99 14:55:00),"SM, GL, CR",68,1,49.5,1900,2,25,4,1,0,N 39* 22.523'  W 121* 37.945'
28,big bar,2001-07-17,(12/30/99 12:40:00),(12/30/99 12:50:00),gl cr,69,1,52.5,1900,2,25,4,1,55,N39*23.155  W121*37.722
29,goose riffle,2001-07-17,(12/30/99 15:30:00),(12/30/99 15:35:00),sm gl cr,68,1,54.5,1900,2,25,4,1,71,N39*24.340 W121*37.029
30,macfarland riffle,2001-07-17,(12/30/99 13:30:00),(12/30/99 13:38:00),sm gl cr,68,1,52.5,1900,2,25,4,1,75,N 39*23.154' W121*37.723'
31,Shallow,2001-07-18,(12/30/99 10:50:00),(12/30/99 11:00:00),"SM, BR, GL, CR",72,1,47,1900,2,25,4,3,42,N 39* 19.757'  W 121* 37.841'
32,Herringer,2001-07-18,(12/30/99 11:30:00),(12/30/99 11:40:00),"SM, GL, BR, CR",74,1,46,1900,2,25,4,3,32,N 39* 19.056'  W 121* 37.394'
33,Junkyard,2001-07-18,(12/30/99 09:50:00),(12/30/99 10:00:00),"SM, GL, BR, CR",68,1,48.5,1900,2,25,4,1,48,N 39* 20.733'  W 121* 37.574
34,Hatchery Riffle,2001-07-10,(12/30/99 09:35:00),(12/30/99 09:45:00),"SM, CR, GL",60,1,66,600,3,25,4,2,28,N 39º 30.519'  W 121º 30.288
35,Auditorium Riffle,2001-07-10,(12/30/99 11:20:00),(12/30/99 11:30:00),"JR, TV",57,1,66,600,2,25,4,2,32,
36,Hatchery Ditch,2001-07-10,(12/30/99 14:10:00),(12/30/99 14:30:00),"TV, CR, JR",59,1,66.5,600,2,25,4,3,9,N 39º 30.961'  W 121º 33.529
37,Trailer Park Riffle,2001-07-11,(12/30/99 10:30:00),(12/30/99 10:45:00),"RK, CR, BR, MP",59,1,64,600,4,25,4,1,57,N 31º 29.68  W 121º 34.765
38,Robinson Riffle,2001-07-11,(12/30/99 14:10:00),(12/30/99 14:50:00),"TV, CR, BR",63,1,61.5,600,3,25,4,1,34,N 39º 27.983  W 121º 35.919
39,Robinson Side Channel,2001-07-11,(12/30/99 14:50:00),(12/30/99 16:15:00),"TV, CR, CR",63,1,61,600,3,25,4,3,16,N 39º 27.982'  W 121º 35.920
40,Bedrock Riffle,2001-07-12,(12/30/99 09:50:00),(12/30/99 10:00:00),"PH, JR, CR",58,1,66,600,2,25,4,1,51,
41,Eye Side Channel,2001-07-12,(12/30/99 14:10:00),(12/30/99 14:20:00),"JR, CR, PH",63,1,60.1,600,2,25,4,3,21,
42,Mathews Riffle,2001-07-12,(12/30/99 11:15:00),(12/30/99 11:28:00),"PH, CR, JR",60.5,1,64,600,2,25,4,1,42,
43,Eye Riffle,2001-07-12,(12/30/99 13:00:00),(12/30/99 13:12:00),"PH, CR, JR",62,1,60,600,2,25,4,1,25,
44,Steep Side Channel,2001-07-12,(12/30/99 11:50:00),(12/30/99 12:05:00),"TV, Br",61,1,61,600,2,25,4,3,20,N 39º 27.814  W 121º 36.234
45,Steep Riffle,2001-07-12,(12/30/99 12:50:00),(12/30/99 13:05:00),"TV, BR",62,1,61,600,2,25,4,1,0,
46,Lower Hour,2001-06-19,(12/30/99 09:45:00),(12/30/99 09:55:00),"SM, DO",68,1,56,1900,2,25,4,2,20,N 39º 19.139'  W 121º 37.216
47,Lower Hour Side Channel,2001-06-19,(12/30/99 10:40:00),(12/30/99 10:50:00),"DO, SM",69,1,56,1900,2,25,4,3,65,
48,Goose Riffle,2001-06-19,(12/30/99 12:10:00),(12/30/99 12:15:00),"SM, DO",69,1,54.5,1900,2,25,4,1,0,N 39º 24.319'  W 121º 36.976
49,Big Bar,2001-06-19,(12/30/99 12:55:00),(12/30/99 13:00:00),"sm, do",72,1,53.5,1900,2,25,4,1,0,"N39º 24.321', W121º 36.982"
50,Gridley Riffle,2001-06-19,(12/30/99 09:50:00),(12/30/99 10:05:00),"ph, tv",69,1,49.5,1900,2,25,4,2,45,"N39*21.247', W121*37.835'"
51,Junkyard Riffle,2001-06-19,(12/30/99 10:45:00),(12/30/99 10:55:00),"tv, ph",70,1,48.5,1900,2,25,4,1,47,"N39º 20.738', W121º 37.576'"
52,Shallow Riffle,2001-06-19,(12/30/99 12:20:00),(12/30/99 12:35:00),"ph, tv",73,1,47,1900,2,25,4,3,33,"N39*19.765', W121*37.72'"
53,Hatchery  Ditch,2001-06-11,(12/30/99 11:15:00),(12/30/99 11:35:00),"tv, ph",53,1,66.5,0,2,25,4,3,8,
54,Hatchery Riffle,2001-06-11,(12/30/99 13:00:00),(12/30/99 13:20:00),"ph, tv",56,2,66.5,600,2,25,4,1,0,
55,Bedrock Riffle,2001-06-11,(12/30/99 14:25:00),(12/30/99 14:40:00),"ph, tv",56,2,66,600,2,25,4,1,0,
56,Trailer Park,2001-06-11,(12/30/99 10:40:00),(12/30/99 10:50:00),"rk, do",57,1,64.5,600,2,25,4,1,97,"N 39º 29.642, W121º 34.801"
57,Mathews Riffle,2001-06-11,(12/30/99 12:10:00),(12/30/99 12:22:00),"DO, RK",59,1,64,600,2,25,4,1,77,N 39º 29.575'   W 121º 34.795'
58,Aleck Riffle,2001-06-11,(12/30/99 13:40:00),(12/30/99 13:55:00),"RK, DO",60.5,1,63.5,600,1,25,4,1,104,N 39º 29.066'  W121º 34.739'
59,ROBINSON SIDE CHANNEL,2001-06-12,(12/30/99 10:10:00),(12/30/99 10:20:00),"JR, DO",58,1,62,600,2,25,4,3,18,N 39° 27.895'  W 121° 35.857
60,Robinson Main Channel,2001-06-12,(12/30/99 11:10:00),(12/30/99 11:20:00),"DO, JR",59,1,62,600,2,25,4,1,34,N 39° 27.976'  W 121° 35.981'
61,Steep Riffle,2001-06-12,(12/30/99 14:15:00),(12/30/99 14:25:00),"JR, DO",60,1,61,600,2,25,4,1,92,N 39° 27.796'  W 121° 36.242'
62,Steep Side Riffle,2001-06-12,(12/30/99 11:20:00),(12/30/99 11:40:00),"PH, TV",61.5,1,61,600,2,25,4,3,30,
63,Weir Riffle,2001-06-12,(12/30/99 12:35:00),(12/30/99 12:50:00),"PH, TV",66,1,60.5,600,2,25,4,1,61,
64,Eye Riffle,2001-06-12,(12/30/99 13:50:00),(12/30/99 14:08:00),"TV, PH",61,1,60,600,2,25,4,3,19,
65,Vance Avenue BL - River Left,2001-06-14,(12/30/99 09:40:00),(12/30/99 09:45:00),"SM, TV",0,1,58.5,1800,2,25,4,1,55,N 39° 27.795'  W 121° 36.241'
66,Big Hole Island,2001-06-14,(12/30/99 11:00:00),(12/30/99 11:05:00),"SM, TV",64,1,58,1800,2,25,4,1,64,N 39° 26.601'  W 121° 38.228'
67,Across From Big Hole Boat Ramp,2001-06-14,(12/30/99 12:05:00),(12/30/99 12:15:00),"TV, SM",65,1,57.5,1800,2,25,4,2,60,N 39° 26.592'  W 121° 38.212'
68,G95,2001-06-14,(12/30/99 12:50:00),(12/30/99 13:00:00),"SM, TV",66,1,57,1800,2,25,4,3,24,N 39° 26.289'  W 121° 38.260'
69,G95 (Area),2001-06-14,(12/30/99 13:35:00),(12/30/99 13:45:00),"SM, TV",75,1,57,1800,2,25,4,3,31,N 39° 25.882'  W 121° 37.932'
70,Hatchery Ditch,2001-05-21,(12/30/99 11:50:00),(12/30/99 12:10:00),"JK, DO, TV",54,1,66.5,0,3,25,4,3,0,
71,Hatchery Riffle,2001-05-21,(12/30/99 14:10:00),(12/30/99 14:25:00),"JK, DO, TV",57,1,66.5,600,3,25,4,1,0,N 39° 30.94'  W 121° 33.28'
72,Auditorium Riffle,2001-05-21,(12/30/99 15:34:00),(12/30/99 16:05:00),"DO, TV, JK",57,1,66,600,2,25,4,1,60,N 39° 30.92'  W 121° 33.54'
73,Bedrock,2001-05-22,(12/30/99 09:30:00),(12/30/99 09:40:00),"JR, AT, DO",55,1,65.8,600,3,25,4,1,56,N 39° 30.750'  W 121° 34.166'
74,Aleck Riffle,2001-05-22,(12/30/99 11:45:00),(12/30/99 11:55:00),"DO, JR, AT",62.5,1,63.5,600,2,25,4,1,44,N 39° 29.103'  W 121* 34.740'
75,Robinson Side Channel,2001-05-21,(12/30/99 13:05:00),(12/30/99 13:10:00),"jr, sm, rk",60,1,61.5,600,2,25,4,3,24,N 39º 27.962'  W121º 35.980'
76,Lower Robinson,2001-05-21,(12/30/99 11:30:00),(12/30/99 11:35:00),"rk, sm, jr",57.5,1,61.5,600,3,25,4,1,35,
77,Steep Side Channel,2001-05-21,(12/30/99 14:05:00),(12/30/99 14:15:00),"sm, jr, rk",60,1,61,600,2,25,4,3,8,N 39° 27.754'  W 121° 36.194'
78,Eye Riffle Main Channel,2001-05-22,(12/30/99 14:55:00),(12/30/99 15:05:00),"DO, AT, JR",61,1,60,600,3,25,4,1,53,N 39° 29.012'  W 121° 34.740'
79,Eye Riffle Side,2001-05-22,(12/30/99 13:35:00),(12/30/99 13:50:00),"DO, JR, AT",62,1,60,600,3,25,4,3,23,N 39° 29.012'  W 121° 34.740'
80,Big Hole,2001-05-22,(12/30/99 11:30:00),(12/30/99 11:35:00),"SM, TV",67,1,58,2000,2,25,4,2,20,N 39° 26.592'  W 121° 38.209'
81,Big Hole,2001-05-22,(12/30/99 12:40:00),(12/30/99 12:45:00),"SM, TV",69,1,58,2000,2,25,4,2,21,N 39° 26.362'  W 121° 38.220'
82,G95,2001-05-22,(12/30/99 14:35:00),(12/30/99 14:45:00),"SM, TV",67,1,57,2000,2,25,4,3,16,N 39° 25.863'  W 121° 37.934'
83,G95 West Side Channel,2001-05-23,(12/30/99 10:05:00),(12/30/99 10:20:00),"JK, DO, AT",62,1,57,2000,3,25,4,1,36,
84,Hour Riffle,2001-05-23,(12/30/99 11:30:00),(12/30/99 11:45:00),"DO, JK, AT",65,1,56.5,2000,3,25,4,2,40,
85,Hour Bar,2001-05-23,(12/30/99 13:10:00),(12/30/99 13:20:00),"DO, JK, AT",70,1,56,2000,3,25,4,2,55,
86,Macfarland Riffle,2001-08-22,(12/30/99 15:10:00),(12/30/99 15:20:00),"ph, tv, do",70,1,52,2000,2,25,4,1,84,N 39° 22.50'  W 121° 37.94'
87,Goose Riffle,2001-05-23,(12/30/99 10:15:00),(12/30/99 10:22:00),"JR, SM, PH",69,1,54.7,2000,2,25,4,1,56,N 39° 24.197'  W 121° 37.094'
88,Macfarland Riffle,2001-05-23,(12/30/99 11:45:00),(12/30/99 11:55:00),"jr, ph, sm",68,1,52.4,2000,2,25,4,1,60,N 39°22.503 W 121° 37.942
89,Gridley Riffle,2001-05-23,(12/30/99 12:50:00),(12/30/99 13:00:00),"SM, JR, PH",67,1,49.5,2000,2,25,4,2,30,
90,Junkyard Riffle,2001-05-24,(12/30/99 10:35:00),(12/30/99 10:45:00),"do, at, ph",0,1,49,2000,2,25,4,0,67,N 39° 20.8 W 121° 37.6
91,Shallow Riffle Side,2001-05-24,(12/30/99 12:30:00),(12/30/99 12:35:00),"do, ph, at",NA,1,47,2000,2,25,4,3,30,N 39° 19.743 W 121° 37.741
144,"Eye Riffle, Unit #208",2001-03-15,(12/30/99 15:15:00),(12/30/99 15:30:00),"TV, JK, CD",50,2,60.2,600,2,25,4,2,16,
145,River Right Below Vance Ave Bridge,2001-03-15,(12/30/99 11:35:00),(12/30/99 11:42:00),"PH, RK, SM",54,2,58.5,1700,3,25,4,2,50,
146,Big Bar - Middle Island River Right,2001-03-15,(12/30/99 14:50:00),(12/30/99 15:00:00),"RK, PH, SM",56,2,53.4,1750,3,25,4,2,34,
