PDatID,FishDataID,Species,Count,FL..mm.,WaterDepth,DistToBottom,Focal.Velocity,AvVel,Substrate,I.CovCode,OCoverCodeID,X.SurfTurb,TCode,FishInTran,FocalClicks,AdjFocalVel,AvVelClicks,AdjAvVel
19,68,1,1,210,NA,0.029999999,1.8099999,NA,NA,NA,NA,NA,6.4,0,NA,NA,NA,NA
19,69,1,1,160,NA,0.029999999,3.4400001,NA,NA,NA,NA,NA,9.3,0,NA,NA,NA,NA
19,70,1,1,200,NA,0.029999999,3.21,NA,NA,NA,NA,NA,9.3,0,NA,NA,NA,NA
33,71,9,1,50,NA,0,0.20999999,NA,NA,NA,NA,NA,12.4,0,NA,NA,NA,NA
36,72,3,9,45,NA,0,0,NA,NA,NA,NA,NA,12.4,0,NA,NA,NA,NA
36,73,1,1,45,NA,0.1,0.62,NA,NA,NA,NA,NA,15.3,0,NA,NA,NA,NA
36,74,3,7,50,NA,0,0,NA,NA,NA,NA,NA,15.3,0,NA,NA,NA,NA
36,75,3,10,45,NA,0,0,NA,NA,NA,NA,NA,18.4,0,NA,NA,NA,NA
47,76,4,2,50,NA,17,0.37,NA,NA,NA,NA,NA,3.2,0,NA,NA,NA,NA
47,77,6,10,50,NA,40,0.56,NA,NA,NA,NA,NA,9.3,0,NA,NA,NA,NA
53,78,1,2,40,NA,0,1.5599999,NA,NA,NA,NA,NA,3.4,0,NA,NA,NA,NA
53,79,1,1,40,NA,0,2.26,NA,NA,NA,NA,NA,6.1,0,NA,NA,NA,NA
53,80,1,5,50,NA,0,1.13,NA,NA,NA,NA,NA,9.4,0,NA,NA,NA,NA
53,81,3,27,50,NA,0,1.13,NA,NA,NA,NA,NA,9.4,0,NA,NA,NA,NA
53,82,1,7,50,NA,0,0.77999997,NA,NA,NA,NA,NA,9.4,0,NA,NA,NA,NA
53,83,1,9,45,NA,0,1.65,NA,NA,NA,NA,NA,15.4,0,NA,NA,NA,NA
53,84,3,10,60,NA,0,1.65,NA,NA,NA,NA,NA,15.4,0,NA,NA,NA,NA
53,85,1,2,30,NA,0,0.49000001,NA,NA,NA,NA,NA,15.3,0,NA,NA,NA,NA
53,86,1,6,45,NA,0,0.85000002,NA,NA,NA,NA,NA,21.4,0,NA,NA,NA,NA
53,87,1,2,55,NA,0,0.94,NA,NA,NA,NA,NA,24.2,0,NA,NA,NA,NA
53,88,3,15,65,NA,0,0.94,NA,NA,NA,NA,NA,24.2,0,NA,NA,NA,NA
53,89,1,9,45,NA,0,1.42,NA,NA,NA,NA,NA,15.4,0,NA,NA,NA,NA
53,90,3,7,50,NA,0,1.42,NA,NA,NA,NA,NA,15.4,0,NA,NA,NA,NA
54,91,3,75,45,NA,0,0,NA,NA,NA,NA,NA,21.3,0,NA,NA,NA,NA
54,92,3,25,60,NA,0,0,NA,NA,NA,NA,NA,21.3,0,NA,NA,NA,NA
57,93,1,4,45,NA,10,0.62,NA,NA,NA,NA,NA,18.4,0,NA,NA,NA,NA
58,94,1,1,45,NA,5,1.36,NA,NA,NA,NA,NA,6.4,0,NA,NA,NA,NA
58,95,9,10,35,NA,5,1.36,NA,NA,NA,NA,NA,6.4,0,NA,NA,NA,NA
58,96,1,1,40,NA,5,1.36,NA,NA,NA,NA,NA,9.3,0,NA,NA,NA,NA
58,97,1,1,40,NA,10,1.25,NA,NA,NA,NA,NA,12.4,0,NA,NA,NA,NA
58,98,1,2,60,NA,10,0.57999998,NA,NA,NA,NA,NA,21.4,0,NA,NA,NA,NA
58,99,3,10,70,NA,10,0.57999998,NA,NA,NA,NA,NA,21.4,0,NA,NA,NA,NA
58,100,1,2,45,NA,10,0.57999998,NA,NA,NA,NA,NA,21.4,0,NA,NA,NA,NA
59,101,1,1,55,NA,10,0.41999999,NA,NA,NA,NA,NA,12.3,0,NA,NA,NA,NA
