PhysDataTblID,Location,Date,StartTime,EndTime,Crew,WaterTemp,Weather,RiverMile,Flow,NumberOfDivers,ReachLength,ReachWidth,ChannelType,ChannelWidth,GPS.Coordinate
243,Cox Riffle,2002-08-14,1999-12-30,1999-12-30,"GK, TR, RB",72,1,47.5,4500,2,25,4,1,86,N 39 20.093 W 121 37.945
244,shallow riffle west #3,2002-08-14,1999-12-30,1999-12-30,tv rb gk,66,1,47,0,2,25,4,2,37,N39 19758 W121 37.729
245,hatchery dithc #1,2002-08-19,1999-12-30,1999-12-30,dg tv rb,57,1,66.6,0,1,25,4,3,7,N39 30.989 W121 33.445
246,hatchery riffle,2002-08-19,1999-12-30,1999-12-30,tv dg rb,57,1,66.5,700,1,25,4,2,30,N39 30.947 W 121 33.272
248,G-95 East,2002-04-23,1999-12-30,1999-12-30,cr ph at,63.5,1,57,1200,2,25,4,2,26,N39 25.74 W121 37.57
249,Big Bar,2002-04-24,1999-12-30,1999-12-30,"GL, AT",NA,1,53.5,1200,2,25,4,1,50,39°23.167'N 121°37.722
250,Hour riffle (lower),2002-04-24,1999-12-30,1999-12-30,"GL, AT",62,1,56,1200,2,25,4,2,0,39°25.304'N 121°37.540W
251,McFarland,2002-04-24,1999-12-30,1999-12-30,"BR, PH",54,1,52,1200,1,25,4,1,49,N 39 22.4 W 121 38.0
252,Hour Bar,2002-04-24,1999-12-30,1999-12-30,"BR, PH",0,1,46,1200,1,25,4,2,30,N 39 24.9 W 121 37.6
253,Hour Bar,2002-04-24,1999-12-30,1999-12-30,BR PH,0,1,56,1200,1,25,4,2,30,N 39 24.9 W121 37.6
254,Cox Riffle section 3,2002-04-25,1999-12-30,1999-12-30,BR TV At,62,1,47.5,1200,2,25,4,1,55,N 39 20.180 W 121 37.945
255,Shallow Riffle Section 2,2002-04-25,1999-12-30,1999-12-30,TV BR AT,62.5,2,47,1200,1,25,4,3,28,N 39 19.743 W121 37.729
256,Junkyard riffle section 2,2002-04-25,1999-12-30,1999-12-30,BR TV AT,64,1,48.5,1200,1,25,4,1,46,N 39 20.752 W 121 37.601
257,Grifley Riffle,2002-04-25,1999-12-30,1999-12-30,JR PH,62,1,49.5,1200,2,25,4,2,26,N 39 21.27 W 121 37.85
258,Steep main channel,2002-05-21,1999-12-30,1999-12-30,AT JR CR,54,2,61,600,1,25,4,1,16,39 27.771  121 36.257
259,Steep side #3,2002-05-21,1999-12-30,1999-12-30,CR JR AT,54,2,61,600,3,25,4,3,15,39 27.706  121 36.109
260,Aleck #1,2002-08-20,1999-12-30,1999-12-30,"JR, DG, PH",19.5,1,63.5,700,2,25,4,1,47,39.29.058 121.34.742
261,Robinson Riffle #4,2002-05-22,1999-12-30,1999-12-30,"PH, AS, AT",58,1,61.5,600,2,25,4,1,35,39.27.957 121.35.991
262,Robinson side channel,2002-05-22,1999-12-30,1999-12-30,"PH, AT, AS",55.5,1,61.5,NA,2,25,4,3,17,39.27.93  121.35.84
263,Aleck Riffle Sect 3,2002-05-22,1999-12-30,1999-12-30,"PH, AT, AS",61,1,63.5,600,2,25,4,1,62,39.28.981 121.34 736
265,Bedrock Park #4,2002-05-23,1999-12-30,1999-12-30,"jr, tv at",57,1,66.9,600,2,25,4,1,44,N39 30.770 W 121 34.145
266,HATCHERY DITCH #3,2002-05-23,1999-12-30,1999-12-30,TV AT JR,55,1,66.6,0,2,25,4,3,12,N 39 30.963 W 121 33.555
267,Trailer Park #1,2002-05-23,1999-12-30,1999-12-30,JR TV,61,1,64,600,2,25,4,1,59,N 39 29.768 W 121 34.760
268,Eye Side #2,2002-05-20,1999-12-30,1999-12-30,JK TV,4,2,60,650,2,25,4,3,13,N 39 27.444 W 121 36.791
269,Eye #2,2002-05-20,1999-12-30,1999-12-30,"JK, GL",54,3,60,4650,2,25,4,2,13,N 39 27.416 W 121 36.910
270,Gateway,2002-05-20,1999-12-30,1999-12-30,"PH, CR",54,1,59.8,600,2,25,4,1,45,N 39 27.42 W 121 37.40
271,Hour Section 2,2002-05-30,1999-12-30,1999-12-30,"PH, CR",67,1,56,0,2,25,4,1,38,N 39 25.265 W 121 37.565
272,Shallow Main Section 1,2002-05-30,1999-12-30,1999-12-30,"AT, AS",67,1,47,1300,2,25,4,1,52,N 39 19.842 W 121 37.787
273,Big Bar #1,2002-05-30,1999-12-30,1999-12-30,"RK, JK, JR, ND",72,1,0,1300,2,25,4,1,32,N 39 23.178 W 121 37.700
274,Junkyard Section 1,2002-05-30,1999-12-30,1999-12-30,"AT, AS",68,1,48.5,1300,2,25,4,1,63,N 39 20.812 W 121 37.594
275,Cox Riffle #5,2002-05-30,1999-12-30,1999-12-30,"RK, JR",0,1,47.5,1300,2,25,4,1,50,
276,McFarland #1,2002-05-30,1999-12-30,1999-12-30,"JR, RK",0,1,52,0,2,25,4,1,45,
277,Big Hole Lower #2,2002-05-28,1999-12-30,1999-12-30,"JK, RK",64,1,57.5,1300,2,25,4,2,37,N 39 26.241 W 121 35.250
278,G-95 East #3,2002-05-28,1999-12-30,1999-12-30,"JR, CR",68,1,57,0,2,25,4,2,39,N 39 25.715 W 121 37.544
279,G95 WEST #4,2002-05-28,1999-12-30,1999-12-30,"JR, CR",68,1,57,0,2,25,4,3,120,N 39 25.839 W 121 37.898
280,Vance East #6,2002-05-25,1999-12-30,1999-12-30,"JK, RK",63.5,1,58.5,1300,2,25,4,2,47,N 39 26.885 W 121 38.151
281,Goose Section 2,2002-05-30,1999-12-30,1999-12-30,"PH, CR",70,1,54.5,0,2,25,4,1,83,N 39 24.265 W 121 37.043
282,hour east riffle,2002-05-30,1999-12-30,1999-12-30,ph cr,85,1,0,0,2,25,4,2,131,N 39 24.928 W 121 37.618
283,weir section 1,2002-05-20,1999-12-30,1999-12-30,ph cr,12,3,60.5,600,2,25,4,1,45,N 39 27.68 w 121 36.54
284,Weir #3,2002-08-20,1999-12-30,1999-12-30,rb km mk,62,1,60.5,0,1,25,4,1,44,N 39 27.653 W 121 36.567
285,steep side channel #3,2002-08-20,1999-12-30,1999-12-30,MK km rb,62,1,61,700,2,25,4,3,17,N 39 27.702 W 121 36.112
286,Eye side #2,2002-08-20,1999-12-30,1999-12-30,mk km rb,62,1,60,700,2,25,4,3,21,N 39 27.449  W 121 36.790
287,Weir riffle #2,2002-07-23,1999-12-30,1999-12-30,"TV, PH, ND",64,1,60.5,600,2,25,4,1,42,"39' 27.68', 121' 36.48'"
288,Gridley Riffle #3,2002-08-14,1999-12-30,1999-12-30,TV RB GK,68,1,49.5,0,0,25,4,2,67,"39 21.224, 121 37.831"
289,Auditorium Riffle,2002-08-19,1999-12-30,1999-12-30,TV RB DG,58.5,1,66.5,700,1,25,4,1,66,"39 30.950, 121 33.552"
