Name,Longitude,Latitude
HGSC,-121.6320712744629,39.35596140694254
HPRL,-121.6236714194825,39.31489994658549
CF,-121.6319202449533,39.33551299660206
BRB,-121.6226321392267,39.39067859002783
UHSC,-121.6242949214489,39.42096731730246
HTPSC,-121.6271981300379,39.41262369973721
SEC2,-121.5533257602825,39.51610083403059
RBUB,-121.5775597296587,39.5078583091067
