year,location,surveyed,survey_week
2015,hatcherysidechannel,TRUE,12
2015,hatcherysidechannel,TRUE,13
2015,lowerauditorium,TRUE,1
2015,lowerauditorium,TRUE,2
2015,lowerauditorium,TRUE,3
2015,lowerauditorium,TRUE,4
2015,lowerauditorium,TRUE,5
2015,lowerauditorium,TRUE,6
2015,lowerauditorium,TRUE,7
2015,lowerauditorium,TRUE,8
2015,lowerauditorium,TRUE,9
2015,lowerauditorium,TRUE,10
2015,lowerauditorium,TRUE,11
2015,lowerauditorium,TRUE,12
2015,lowerauditorium,TRUE,13
2015,lowertablemountain,FALSE,NA
2015,middleauditorium,TRUE,1
2015,middleauditorium,TRUE,2
2015,middleauditorium,TRUE,3
2015,middleauditorium,TRUE,4
2015,middleauditorium,TRUE,5
2015,middleauditorium,TRUE,6
2015,middleauditorium,TRUE,7
2015,middleauditorium,TRUE,8
2015,middleauditorium,TRUE,9
2015,middleauditorium,TRUE,10
2015,middleauditorium,TRUE,11
2015,middleauditorium,TRUE,12
2015,middleauditorium,TRUE,13
2015,moessidechannel,TRUE,1
2015,moessidechannel,TRUE,2
2015,moessidechannel,TRUE,3
2015,moessidechannel,TRUE,4
2015,moessidechannel,TRUE,5
2015,moessidechannel,TRUE,6
2015,moessidechannel,TRUE,7
2015,moessidechannel,TRUE,8
2015,moessidechannel,TRUE,9
2015,moessidechannel,TRUE,10
2015,moessidechannel,TRUE,11
2015,moessidechannel,TRUE,12
2015,moessidechannel,TRUE,13
2015,tablemountain,TRUE,9
2015,tablemountain,TRUE,10
2015,tablemountain,TRUE,11
2015,tablemountain,TRUE,12
2015,tablemountain,TRUE,13
2015,topofauditorium,TRUE,1
2015,topofauditorium,TRUE,2
2015,topofauditorium,TRUE,3
2015,topofauditorium,TRUE,4
2015,topofauditorium,TRUE,5
2015,topofauditorium,TRUE,6
2015,topofauditorium,TRUE,7
2015,topofauditorium,TRUE,8
2015,topofauditorium,TRUE,9
2015,topofauditorium,TRUE,10
2015,topofauditorium,TRUE,11
2015,topofauditorium,TRUE,12
2015,topofauditorium,TRUE,13
2015,topofhatchery,FALSE,NA
2015,upperauditorium,TRUE,1
2015,upperauditorium,TRUE,2
2015,upperauditorium,TRUE,3
2015,upperauditorium,TRUE,4
2015,upperauditorium,TRUE,5
2015,upperauditorium,TRUE,6
2015,upperauditorium,TRUE,7
2015,upperauditorium,TRUE,8
2015,upperauditorium,TRUE,9
2015,upperauditorium,TRUE,10
2015,upperauditorium,TRUE,11
2015,upperauditorium,TRUE,12
2015,upperauditorium,TRUE,13
2015,uppercottonwood,TRUE,1
2015,uppercottonwood,TRUE,2
2015,uppercottonwood,TRUE,3
2015,uppercottonwood,TRUE,4
2015,uppercottonwood,TRUE,5
2015,uppercottonwood,TRUE,6
2015,uppercottonwood,TRUE,7
2015,uppercottonwood,TRUE,8
2015,uppercottonwood,TRUE,9
2015,uppercottonwood,TRUE,10
2015,uppercottonwood,TRUE,11
2015,uppercottonwood,TRUE,12
2015,uppercottonwood,TRUE,13
2015,upperhatchery,TRUE,1
2015,upperhatchery,TRUE,2
2015,upperhatchery,TRUE,3
2015,upperhatchery,TRUE,4
2015,upperhatchery,TRUE,5
2015,upperhatchery,TRUE,6
2015,upperhatchery,TRUE,7
2015,upperhatchery,TRUE,8
2015,upperhatchery,TRUE,9
2015,upperhatchery,TRUE,10
2015,upperhatchery,TRUE,11
2015,upperhatchery,TRUE,12
2015,upperhatchery,TRUE,13
2015,bigbar,TRUE,5
2015,bigbar,TRUE,6
2015,bigbar,TRUE,10
2015,bigbar,TRUE,13
2015,bigholeeast,TRUE,5
2015,bigholeeast,TRUE,6
2015,bigholeeast,TRUE,10
2015,bigholeeast,TRUE,13
2015,bigholewest,TRUE,5
2015,bigholewest,TRUE,6
2015,bigholewest,TRUE,10
2015,bigholewest,TRUE,13
2015,developing,TRUE,5
2015,developing,TRUE,6
2015,developing,TRUE,10
2015,developing,TRUE,13
2015,g95eastsidechannelbottom,TRUE,5
2015,g95eastsidechannelbottom,TRUE,6
2015,g95eastsidechannelbottom,TRUE,10
2015,g95eastsidechannelbottom,TRUE,13
2015,g95eastsidechanneltop,TRUE,5
2015,g95eastsidechanneltop,TRUE,6
2015,g95eastsidechanneltop,TRUE,10
2015,g95eastsidechanneltop,TRUE,13
2015,g95main,TRUE,5
2015,g95main,TRUE,6
2015,g95main,TRUE,10
2015,g95main,TRUE,13
2015,g95westsidechannel,TRUE,5
2015,g95westsidechannel,TRUE,6
2015,g95westsidechannel,TRUE,10
2015,g95westsidechannel,TRUE,13
2015,goose,TRUE,5
2015,goose,TRUE,6
2015,goose,TRUE,10
2015,goose,TRUE,13
2015,keister,TRUE,5
2015,keister,TRUE,6
2015,keister,TRUE,10
2015,keister,TRUE,13
2015,lowerhour,TRUE,5
2015,lowerhour,TRUE,6
2015,lowerhour,TRUE,10
2015,lowerhour,TRUE,13
2015,lowermcfarland,TRUE,5
2015,lowermcfarland,TRUE,6
2015,lowermcfarland,TRUE,10
2015,lowermcfarland,TRUE,13
2015,lowervanceeast,TRUE,5
2015,lowervanceeast,TRUE,6
2015,lowervanceeast,TRUE,10
2015,lowervanceeast,TRUE,13
2015,upperhour,TRUE,5
2015,upperhour,TRUE,6
2015,upperhour,TRUE,10
2015,upperhour,TRUE,13
2015,uppermcfarland,TRUE,5
2015,uppermcfarland,TRUE,6
2015,uppermcfarland,TRUE,10
2015,uppermcfarland,TRUE,13
2015,vanceeast,TRUE,5
2015,vanceeast,TRUE,6
2015,vanceeast,TRUE,10
2015,vanceeast,TRUE,13
2015,vancewest,TRUE,5
2015,vancewest,TRUE,6
2015,vancewest,TRUE,10
2015,vancewest,TRUE,13
2015,aleck,FALSE,NA
2015,eye,FALSE,NA
2015,eyesidechannel,FALSE,NA
2015,gateway,FALSE,NA
2015,greatwestern,FALSE,NA
2015,lowerrobinson,FALSE,NA
2015,mathews,FALSE,NA
2015,steep,FALSE,NA
2015,steepsidechannel,FALSE,NA
2015,trailerpark,FALSE,NA
2015,uppermathews,FALSE,NA
2015,upperrobinson,FALSE,NA
2015,weir,FALSE,NA
2016,bedrock,FALSE,NA
2016,belowlowerauditorium,FALSE,NA
2016,cottonwood,TRUE,1
2016,cottonwood,TRUE,2
2016,cottonwood,TRUE,3
2016,cottonwood,TRUE,4
2016,cottonwood,TRUE,5
2016,cottonwood,TRUE,6
2016,cottonwood,TRUE,7
2016,cottonwood,TRUE,8
2016,cottonwood,TRUE,9
2016,hatchery,TRUE,1
2016,hatchery,TRUE,2
2016,hatchery,TRUE,3
2016,hatchery,TRUE,4
2016,hatchery,TRUE,5
2016,hatchery,TRUE,6
2016,hatchery,TRUE,7
2016,hatchery,TRUE,8
2016,hatchery,TRUE,9
2016,hatcherypipe,FALSE,NA
2016,hatcherysidechannel,FALSE,NA
2016,lowerauditorium,TRUE,1
2016,lowerauditorium,TRUE,2
2016,lowerauditorium,TRUE,3
2016,lowerauditorium,TRUE,4
2016,lowerauditorium,TRUE,5
2016,lowerauditorium,TRUE,6
2016,lowerauditorium,TRUE,7
2016,lowerauditorium,TRUE,8
2016,lowerauditorium,TRUE,9
2016,lowertablemountain,FALSE,NA
2016,middleauditorium,TRUE,1
2016,middleauditorium,TRUE,2
