unit,unit_sub_level,channel_type,river_mile,area_sq_m,latitude,longitude
105,NA,LFC,3,9935.490096,39.49211837,-121.5788439
106,NA,LFC,4,7801.430611,39.48946442,-121.578944
107,NA,LFC,4,14079.90226,39.48936989,-121.5785601
108,NA,LFC,4,8163.200702,39.48945415,-121.5781915
109,NA,LFC,4,6247.525536,39.48777195,-121.5785892
110,NA,LFC,4,17076.19709,39.48792645,-121.5780275
111,NA,LFC,4,3877.290211,39.48774609,-121.5774982
111,A,LFC,4,5219.386344,39.48877729,-121.5774529
112,NA,LFC,4,13717.19495,39.48626277,-121.5784591
113,NA,LFC,4,30615.29808,39.48552502,-121.5781955
114,NA,LFC,4,11178.24434,39.48615173,-121.5776566
115,NA,LFC,4,2507.0755,39.48453463,-121.5788964
117,NA,LFC,4,2113.43769,39.48468539,-121.5778926
118,NA,LFC,4,3456.478161,39.48402098,-121.5780459
118,A,LFC,4,3348.694053,39.48357012,-121.5784806
119,NA,LFC,4,5993.277174,39.48327635,-121.5795119
120,NA,LFC,4,9607.341002,39.48276689,-121.5793973
121,A,LFC,4,4442.108341,39.48387725,-121.5788567
122,NA,LFC,4,7081.708539,39.48130563,-121.5799831
123,NA,LFC,4,18558.26556,39.4811185,-121.5796152
124,NA,LFC,4,6726.996842,39.48113213,-121.5792912
125,NA,LFC,4,5392.069372,39.47935391,-121.5803665
126,NA,LFC,4,10004.45267,39.47931922,-121.5800738
127,NA,LFC,4,17836.69116,39.47939972,-121.5795253
128,NA,LFC,4,11387.76317,39.47941902,-121.5789829
129,NA,LFC,4,3017.065729,39.47815857,-121.5807784
130,NA,LFC,4,7015.226133,39.47812497,-121.5804038
131,NA,LFC,4,7795.996801,39.47808087,-121.5798424
132,NA,LFC,4,6059.975812,39.47804039,-121.579319
133,NA,LFC,4,4653.556594,39.47724323,-121.5810838
134,NA,LFC,4,9185.237411,39.47724811,-121.5806406
135,NA,LFC,4,8638.463698,39.47719291,-121.5800653
136,NA,LFC,4,4284.184744,39.47721861,-121.5796223
137,NA,LFC,5,8196.515299,39.47621684,-121.5814535
138,NA,LFC,5,13301.05341,39.47607107,-121.5809479
139,NA,LFC,5,12875.75973,39.47586031,-121.580524
140,NA,LFC,5,9139.043971,39.47538405,-121.5803607
141,A,LFC,5,5378.308016,39.4749319,-121.5818518
141,NA,LFC,5,9365.808871,39.4747212,-121.581562
142,NA,LFC,5,4143.187667,39.47442714,-121.5813142
143,NA,LFC,5,3698.838176,39.47394651,-121.5824903
144,NA,LFC,5,8370.120781,39.47375598,-121.5821414
145,NA,LFC,5,3641.911867,39.4735557,-121.5817688
146,NA,LFC,5,8805.39968,39.47253469,-121.5833518
147,NA,LFC,5,23557.95592,39.47239617,-121.5828687
148,NA,LFC,5,8662.890639,39.47198563,-121.5824649
149,NA,LFC,5,13303.14537,39.47042354,-121.584941
150,NA,LFC,5,27237.41449,39.47116107,-121.5837531
151,NA,LFC,5,9824.526635,39.47011021,-121.5841126
152,NA,LFC,5,13808.89096,39.46939123,-121.5872812
153,NA,LFC,5,18217.48798,39.46904992,-121.5870799
154,NA,LFC,5,8070.062781,39.46889707,-121.5866631
155,NA,LFC,5,6884.063306,39.46862303,-121.5894513
156,NA,LFC,5,15270.7619,39.46828079,-121.5892489
157,NA,LFC,5,4810.913626,39.46803605,-121.5888984
158,NA,LFC,5,7650.010056,39.46779189,-121.5917392
159,NA,LFC,5,34143.42741,39.46743095,-121.5914519
160,NA,LFC,5,9667.786647,39.46703967,-121.5911299
161,NA,LFC,5,11648.43998,39.46909436,-121.5914345
162,NA,LFC,5,9377.934442,39.46875513,-121.5917042
163,NA,LFC,5,10867.81773,39.46824877,-121.5923315
164,NA,LFC,6,7326.074176,39.46733731,-121.595165
165,NA,LFC,6,14328.23729,39.46690744,-121.595741
166,NA,LFC,6,18119.26337,39.46702644,-121.5945499
167,NA,LFC,6,22177.82621,39.46673734,-121.5940474
168,NA,LFC,6,12538.23189,39.46634487,-121.5942581
169,NA,LFC,6,6595.666306,39.46717072,-121.5971474
170,NA,LFC,6,10887.22727,39.46683964,-121.5975113
171,NA,LFC,6,12308.34737,39.46641835,-121.5972092
172,NA,LFC,6,10332.36949,39.46579405,-121.5971815
173,NA,LFC,6,1904.926487,39.4664131,-121.5994287
174,NA,LFC,6,1645.786363,39.46624825,-121.5992165
175,NA,LFC,6,1269.600609,39.46628399,-121.5989507
176,NA,LFC,6,8061.552512,39.46567047,-121.6015628
177,NA,LFC,6,13192.08471,39.46551963,-121.6014953
178,NA,LFC,6,3943.250734,39.46589523,-121.6001181
179,NA,LFC,6,2142.369899,39.46575083,-121.5997348
180,NA,LFC,6,4211.610646,39.4658147,-121.5991891
182,NA,LFC,6,11696.00981,39.46364409,-121.6041959
183,NA,LFC,6,5175.644429,39.46522581,-121.6017803
184,NA,LFC,6,8822.972006,39.46316174,-121.6045205
185,NA,LFC,7,10216.82345,39.4618489,-121.6050189
186,NA,LFC,7,4218.697006,39.46382078,-121.6037125
189,NA,LFC,7,14206.25631,39.46202241,-121.6039028
190,NA,LFC,7,7464.953811,39.46209616,-121.6026374
191,NA,LFC,7,8892.011249,39.46162277,-121.6071745
192,NA,LFC,7,8479.294309,39.46142533,-121.6072224
193,NA,LFC,7,8819.010851,39.46134218,-121.607055
197,NA,LFC,7,14985.50013,39.46040071,-121.6111141
197,NA,LFC,7,2510.401442,39.45824869,-121.6137823
198,NA,LFC,7,20578.4172,39.4601231,-121.6111133
199,NA,LFC,7,17236.95934,39.46000904,-121.6108838
200,NA,LFC,7,2774.957529,39.45621277,-121.6147888
205,NA,LFC,7,3149.92646,39.45768223,-121.6133865
207,NA,LFC,7,8845.298277,39.45787856,-121.6136529
210,NA,LFC,7,11439.41838,39.45678701,-121.6129365
215,A,LFC,7,1787.265002,39.45717987,-121.6144794
215,B,LFC,7,2770.379595,39.45713688,-121.6141917
215,NA,LFC,7,7329.497848,39.45645204,-121.6149814
216,NA,LFC,7,2181.655031,39.45703985,-121.6146242
217,NA,LFC,7,2149.318815,39.45684453,-121.6140597
218,NA,LFC,8,17291.6618,39.45686129,-121.6185734
219,NA,LFC,8,28439.67066,39.45657859,-121.6184428
220,NA,LFC,8,16061.1195,39.45631081,-121.6184163
221,NA,LFC,8,4466.932151,39.45649851,-121.6221036
224,NA,LFC,8,6602.580028,39.45727083,-121.6220665
225,NA,LFC,8,3237.530481,39.45664932,-121.6220335
226,NA,LFC,8,12077.96107,39.45708352,-121.6241147
228,NA,LFC,8,5117.612414,39.45719457,-121.6250248
230,NA,LFC,8,559.383509,39.45696094,-121.6286838
231,NA,LFC,8,16883.64413,39.45625711,-121.6245312
232,NA,LFC,8,6453.043221,39.45693338,-121.6277378
233,NA,LFC,8,15707.38264,39.45668047,-121.6271442
234,NA,LFC,8,19954.78584,39.45634371,-121.6266826
235,NA,LFC,8,9146.29694,39.45600008,-121.626645
236,NA,LFC,8,4577.926921,39.45679217,-121.6294223
237,NA,LFC,8,12697.95399,39.45644355,-121.6292624
238,NA,LFC,8,6116.135626,39.4561644,-121.6292817
239,NA,LFC,8,4565.974201,39.45602256,-121.6292449
240,NA,LFC,8,7808.241803,39.45645585,-121.6317888
241,NA,LFC,8,17136.33292,39.45613574,-121.6317878
242,NA,LFC,8,15685.0556,39.45575017,-121.6316051
243,NA,LFC,8,9887.482091,39.45545161,-121.6309515
244,NA,LFC,8,8367.62319,39.45638735,-121.6342381
245,NA,LFC,8,22549.55723,39.45593545,-121.6340299
246,NA,LFC,8,4536.074587,39.45541498,-121.6335711
246,NA,LFC,8,4157.111395,39.45519957,-121.6341998
247,NA,LFC,8,1503.517262,39.45511117,-121.6338878
249,NA,HFC,9,5339.860535,39.45517064,-121.6348912
250,NA,HFC,9,11955.25651,39.45569775,-121.6357781
251,NA,HFC,9,27894.68483,39.4549147,-121.6359196
252,NA,HFC,9,5584.111841,39.45381979,-121.6366068
253,NA,HFC,9,7314.549867,39.45392263,-121.6366107
255,NA,HFC,9,4434.8205,39.4537396,-121.6365464
255,NA,HFC,9,7597.257025,39.45332609,-121.6390048
256,NA,HFC,9,4773.0341,39.45430705,-121.6378978
257,NA,HFC,9,7993.307546,39.4541337,-121.6376345
259,NA,HFC,9,14433.83777,39.45297509,-121.6387373
260,NA,HFC,9,11527.27473,39.4526654,-121.6383621
261,NA,HFC,9,5350.926439,39.45232536,-121.6381131
262,NA,HFC,9,4882.892679,39.45163523,-121.6398959
263,NA,HFC,9,9676.2678,39.45167982,-121.6393665
264,NA,HFC,9,11143.2494,39.45156933,-121.6386411
265,NA,HFC,9,2660.883291,39.45165557,-121.6381339
266,NA,HFC,9,12379.53134,39.44992012,-121.638861
266,A,HFC,9,2800.266336,39.44776379,-121.6383438
267,NA,HFC,9,20785.70207,39.450726,-121.6390812
268,NA,HFC,9,14490.484,39.44998778,-121.6384433
269,NA,HFC,9,6608.224616,39.45052934,-121.6371807
270,NA,HFC,9,12894.97077,39.45061526,-121.6368998
271,NA,HFC,9,7264.585812,39.45075234,-121.6366925
272,B,HFC,9,7314.13986,39.44812494,-121.6363552
272,A,HFC,9,7793.083657,39.44587917,-121.6377661
273,B,HFC,9,11456.36139,39.44824133,-121.6359815
273,A,HFC,9,12031.34035,39.44629788,-121.6375551
274,B,HFC,9,8847.001304,39.44845654,-121.6356646
274,A,HFC,9,7680.129601,39.44618658,-121.6372809
275,NA,HFC,9,6003.432125,39.44563843,-121.6361786
276,NA,HFC,9,15535.74209,39.44572548,-121.6359663
277,NA,HFC,9,6977.51235,39.44691388,-121.637158
278,NA,HFC,9,8056.495909,39.44579031,-121.635703
