date,sample_shape
1997-04-10,sweep seine technique
1997-04-10,sweep seine technique
1997-04-10,sweep seine technique
1997-04-10,sweep seine technique
1997-04-10,sweep seine technique
1997-04-10,sweep seine technique
1997-04-10,sweep seine technique
1997-04-10,sweep seine technique
1997-04-10,sweep seine technique
1997-04-10,sweep seine technique
1997-04-10,sweep seine technique
1997-04-10,sweep seine technique
1997-04-10,sweep seine technique
1997-04-10,sweep seine technique
1997-04-10,sweep seine technique
1997-04-10,sweep seine technique
1997-04-10,sweep seine technique
1997-04-10,sweep seine technique
1997-04-10,sweep seine technique
1997-04-10,sweep seine technique
1997-04-10,sweep seine technique
1997-04-10,sweep seine technique
1997-04-10,sweep seine technique
1997-04-10,sweep seine technique
1997-04-10,sweep seine technique
1997-04-10,sweep seine technique
1997-04-10,sweep seine technique
1997-04-10,sweep seine technique
1997-04-10,sweep seine technique
1997-04-10,sweep seine technique
1997-04-10,sweep seine technique
1997-04-10,sweep seine technique
1997-04-10,sweep seine technique
1997-04-10,sweep seine technique
1997-03-26,sweep seine technique
1997-03-26,sweep seine technique
1997-03-26,sweep seine technique
1997-03-26,sweep seine technique
1997-03-26,sweep seine technique
1997-03-26,sweep seine technique
1997-03-26,sweep seine technique
1997-03-26,sweep seine technique
1997-03-26,sweep seine technique
1997-03-26,sweep seine technique
1997-03-26,sweep seine technique
1997-03-26,sweep seine technique
1997-03-26,sweep seine technique
1997-03-26,sweep seine technique
1997-03-26,sweep seine technique
1997-03-26,sweep seine technique
1997-03-26,sweep seine technique
1997-03-26,sweep seine technique
1997-03-26,sweep seine technique
1997-03-26,sweep seine technique
1997-03-26,sweep seine technique
1997-03-26,sweep seine technique
1997-03-26,sweep seine technique
1997-03-26,sweep seine technique
1997-03-26,sweep seine technique
1997-03-26,sweep seine technique
1997-03-26,sweep seine technique
1997-03-26,sweep seine technique
1997-03-26,sweep seine technique
1997-03-26,sweep seine technique
1997-03-26,sweep seine technique
1997-03-26,sweep seine technique
1997-03-26,sweep seine technique
1997-03-26,sweep seine technique
1997-03-26,sweep seine technique
1997-03-26,sweep seine technique
1997-03-26,sweep seine technique
1997-03-26,sweep seine technique
1997-03-26,sweep seine technique
1997-03-26,sweep seine technique
1997-03-26,sweep seine technique
1997-03-26,sweep seine technique
1997-03-26,sweep seine technique
1997-03-26,sweep seine technique
1997-03-26,sweep seine technique
1997-03-26,sweep seine technique
1997-03-26,sweep seine technique
1997-03-26,sweep seine technique
1997-03-26,sweep seine technique
1997-03-26,sweep seine technique
1997-03-26,sweep seine technique
1997-03-26,sweep seine technique
1997-03-26,sweep seine technique
1997-03-26,sweep seine technique
1997-03-26,sweep seine technique
1997-03-26,sweep seine technique
1997-03-26,sweep seine technique
1997-03-26,sweep seine technique
1997-03-26,sweep seine technique
1997-03-26,sweep seine technique
1997-03-26,sweep seine technique
1997-03-26,sweep seine technique
1997-03-26,sweep seine technique
1997-03-26,sweep seine technique
1997-03-26,sweep seine technique
1997-03-26,sweep seine technique
1997-03-26,sweep seine technique
1997-03-26,sweep seine technique
1997-03-26,sweep seine technique
1997-03-26,sweep seine technique
1997-03-26,sweep seine technique
1997-03-26,sweep seine technique
1997-03-26,sweep seine technique
1997-03-26,sweep seine technique
1997-03-26,sweep seine technique
1997-03-26,sweep seine technique
1997-03-26,sweep seine technique
1997-03-26,sweep seine technique
1997-03-26,sweep seine technique
1997-03-26,sweep seine technique
1997-03-26,sweep seine technique
1997-03-26,sweep seine technique
1997-03-26,sweep seine technique
1997-03-26,sweep seine technique
1997-03-26,sweep seine technique
1997-03-26,sweep seine technique
1997-03-26,sweep seine technique
1997-03-26,sweep seine technique
1997-03-26,sweep seine technique
1997-03-26,sweep seine technique
1997-03-26,sweep seine technique
1997-03-26,sweep seine technique
1997-03-26,sweep seine technique
1997-03-26,sweep seine technique
1997-03-26,sweep seine technique
1997-03-26,sweep seine technique
1997-03-26,sweep seine technique
1997-03-26,sweep seine technique
1997-03-26,sweep seine technique
1997-03-26,sweep seine technique
1997-03-26,sweep seine technique
1997-03-26,sweep seine technique
1997-03-26,sweep seine technique
1997-03-26,sweep seine technique
1997-03-26,sweep seine technique
1997-03-26,sweep seine technique
1997-03-26,sweep seine technique
1997-03-26,sweep seine technique
1997-03-26,sweep seine technique
1997-03-26,sweep seine technique
1997-03-26,sweep seine technique
1997-03-26,sweep seine technique
1997-03-26,sweep seine technique
1997-03-26,sweep seine technique
1997-03-26,sweep seine technique
1997-03-26,sweep seine technique
1997-03-26,sweep seine technique
1997-03-26,sweep seine technique
1997-03-26,sweep seine technique
1997-03-26,sweep seine technique
1997-03-26,sweep seine technique
1997-03-14,sweep seine technique
1997-03-14,sweep seine technique
1997-03-14,sweep seine technique
1997-03-14,sweep seine technique
1997-03-14,sweep seine technique
1997-03-14,sweep seine technique
1997-03-14,sweep seine technique
1997-03-14,sweep seine technique
1997-03-14,sweep seine technique
1997-03-14,sweep seine technique
1997-03-14,sweep seine technique
1997-03-14,sweep seine technique
1997-03-14,sweep seine technique
1997-03-14,sweep seine technique
1997-03-14,sweep seine technique
1997-03-14,sweep seine technique
1997-03-14,sweep seine technique
1997-03-14,sweep seine technique
1997-03-14,sweep seine technique
1997-03-14,sweep seine technique
1997-03-14,sweep seine technique
1997-03-14,sweep seine technique
1997-03-14,sweep seine technique
1997-03-14,sweep seine technique
1997-03-14,sweep seine technique
1997-03-14,sweep seine technique
1997-03-14,sweep seine technique
1997-03-14,sweep seine technique
1997-03-14,sweep seine technique
1997-03-14,sweep seine technique
1997-03-14,sweep seine technique
1997-03-14,sweep seine technique
1997-03-14,sweep seine technique
1997-03-14,sweep seine technique
1997-03-14,sweep seine technique
1997-03-14,sweep seine technique
1997-03-14,sweep seine technique
1997-03-14,sweep seine technique
1997-03-14,sweep seine technique
1997-03-14,sweep seine technique
1997-03-14,sweep seine technique
1997-03-14,sweep seine technique
1997-03-14,sweep seine technique
1997-03-14,sweep seine technique
1997-03-14,sweep seine technique
1997-03-14,sweep seine technique
1997-03-14,sweep seine technique
1997-03-14,sweep seine technique
1997-03-14,sweep seine technique
1997-03-14,sweep seine technique
1997-03-14,sweep seine technique
1997-03-14,sweep seine technique
1997-03-14,sweep seine technique
1997-03-14,sweep seine technique
1997-03-14,sweep seine technique
1997-03-14,sweep seine technique
1997-03-14,sweep seine technique
1997-03-14,sweep seine technique
1997-03-14,sweep seine technique
1997-03-14,sweep seine technique
1997-03-14,sweep seine technique
1997-03-14,sweep seine technique
1997-03-14,sweep seine technique
1997-03-14,sweep seine technique
1997-03-14,sweep seine technique
1997-03-14,sweep seine technique
1997-03-14,sweep seine technique
1997-03-14,sweep seine technique
1997-03-14,sweep seine technique
1997-03-14,sweep seine technique
1997-03-14,sweep seine technique
1997-03-14,sweep seine technique
1997-03-14,sweep seine technique
1997-03-14,sweep seine technique
1997-03-14,sweep seine technique
1997-03-14,sweep seine technique
1997-03-14,sweep seine technique
1997-03-14,sweep seine technique
1997-03-14,sweep seine technique
1997-03-14,sweep seine technique
1997-03-14,sweep seine technique
1997-03-14,sweep seine technique
1997-03-14,sweep seine technique
1997-03-14,sweep seine technique
1997-03-14,sweep seine technique
1997-03-14,sweep seine technique
1997-03-14,sweep seine technique
1997-03-14,sweep seine technique
1997-03-14,sweep seine technique
1997-03-14,sweep seine technique
1997-03-14,sweep seine technique
1997-03-14,sweep seine technique
1997-03-14,sweep seine technique
1997-03-14,sweep seine technique
1997-03-14,sweep seine technique
1997-03-14,sweep seine technique
1997-03-14,sweep seine technique
1997-03-14,sweep seine technique
1997-03-14,sweep seine technique
1997-03-14,sweep seine technique
1997-03-14,sweep seine technique
1997-03-14,sweep seine technique
1997-03-14,sweep seine technique
1997-03-14,sweep seine technique
1997-01-21,sweep seine technique
1997-01-21,sweep seine technique
1997-01-21,sweep seine technique
1997-01-21,sweep seine technique
1997-01-21,sweep seine technique
1998-12-30,box seine technique
1998-12-30,box seine technique
1998-12-30,box seine technique
1998-12-30,box seine technique
1998-12-30,box seine technique
1998-12-30,box seine technique
1998-12-30,box seine technique
1998-12-30,box seine technique
1998-12-30,box seine technique
